time,country,size,is_holiday,days_to_next_holiday,days_since_last_holiday,business_days_in_month,lockdown
2016-04-25,PL,1,0,6,28,30,0.0
2016-04-25,RO,100,0,4,92,29,0.0
2016-04-25,SK,1,0,6,28,30,0.0
2016-04-25,UA,9,0,4,48,29,0.0
2016-04-26,BY,1,0,5,49,30,0.0
2016-04-26,HU,9,0,5,29,30,0.0
2016-04-26,MD,40,0,5,49,30,0.0
2016-04-26,PL,1,0,5,29,30,0.0
2016-04-26,RO,99,0,3,93,29,0.0
2016-04-26,SK,1,0,5,29,30,0.0
2016-04-26,UA,9,0,3,49,29,0.0
2016-04-27,BY,1,0,4,50,30,0.0
2016-04-27,HU,9,0,4,30,30,0.0
2016-04-27,MD,40,0,4,50,30,0.0
2016-04-27,PL,2,0,4,30,30,0.0
2016-04-27,RO,99,0,2,94,29,0.0
2016-04-27,SK,1,0,4,30,30,0.0
2016-04-27,UA,9,0,2,50,29,0.0
2016-04-28,BY,1,0,3,51,30,0.0
2016-04-28,HU,9,0,3,31,30,0.0
2016-04-28,MD,40,0,3,51,30,0.0
2016-04-28,PL,2,0,3,31,30,0.0
2016-04-28,RO,98,0,1,95,29,0.0
2016-04-28,SK,1,0,3,31,30,0.0
2016-04-28,UA,9,0,1,51,29,0.0
2016-04-29,BY,1,0,2,52,30,0.0
2016-04-29,HU,9,0,2,32,30,0.0
2016-04-29,MD,40,0,2,52,30,0.0
2016-04-29,PL,4,0,2,32,30,0.0
2016-04-29,RO,98,1,2,96,29,0.0
2016-04-29,SK,1,0,2,32,30,0.0
2016-04-29,UA,9,1,2,52,29,0.0
2016-04-30,BY,1,0,1,53,30,0.0
2016-04-30,HU,9,0,1,33,30,0.0
2016-04-30,MD,40,0,1,53,30,0.0
2016-04-30,PL,2,0,1,33,30,0.0
2016-04-30,RO,97,0,1,1,29,0.0
2016-04-30,SK,1,0,1,33,30,0.0
2016-04-30,UA,9,0,1,1,29,0.0
2016-05-01,BY,1,1,8,54,28,0.0
2016-05-01,HU,9,1,14,34,28,0.0
2016-05-01,MD,40,1,8,54,28,0.0
2016-05-01,PL,1,1,2,34,27,0.0
2016-05-01,RO,97,1,1,2,29,0.0
2016-05-01,SK,1,1,7,34,29,0.0
2016-05-01,UA,9,1,1,2,28,0.0
2016-05-02,BY,1,0,7,1,28,0.0
2016-05-02,HU,9,0,13,1,28,0.0
2016-05-02,MD,40,0,7,1,28,0.0
2016-05-02,PL,1,0,1,1,27,0.0
2016-05-02,RO,97,1,48,1,29,0.0
2016-05-02,SK,1,0,6,1,29,0.0
2016-05-02,UA,9,1,7,1,28,0.0
2016-05-03,BY,1,0,6,2,28,0.0
2016-05-03,HU,8,0,12,2,28,0.0
2016-05-03,MD,40,0,6,2,28,0.0
2016-05-03,PL,1,1,12,2,27,0.0
2016-05-03,RO,96,0,47,1,29,0.0
2016-05-03,SK,1,0,5,2,29,0.0
2016-05-03,UA,9,0,6,1,28,0.0
2016-05-04,BY,1,0,5,3,28,0.0
2016-05-04,HU,8,0,11,3,28,0.0
2016-05-04,MD,40,0,5,3,28,0.0
2016-05-04,PL,3,0,11,1,27,0.0
2016-05-04,RO,96,0,46,2,29,0.0
2016-05-04,SK,1,0,4,3,29,0.0
2016-05-04,UA,9,0,5,2,28,0.0
2016-05-05,BY,1,0,4,4,28,0.0
2016-05-05,HU,8,0,10,4,28,0.0
2016-05-05,MD,40,0,4,4,28,0.0
2016-05-05,PL,5,0,10,2,27,0.0
2016-05-05,RO,95,0,45,3,29,0.0
2016-05-05,SK,1,0,3,4,29,0.0
2016-05-05,UA,9,0,4,3,28,0.0
2016-05-06,BY,1,0,3,5,28,0.0
2016-05-06,HU,8,0,9,5,28,0.0
2016-05-06,MD,40,0,3,5,28,0.0
2016-05-06,PL,5,0,9,3,27,0.0
2016-05-06,RO,95,0,44,4,29,0.0
2016-05-06,SK,1,0,2,5,29,0.0
2016-05-06,UA,9,0,3,4,28,0.0
2016-05-07,BY,1,0,2,6,28,0.0
2016-05-07,HU,8,0,8,6,28,0.0
2016-05-07,MD,40,0,2,6,28,0.0
2016-05-07,PL,3,0,8,4,27,0.0
2016-05-07,RO,94,0,43,5,29,0.0
2016-05-07,SK,1,0,1,6,29,0.0
2016-05-07,UA,8,0,2,5,28,0.0
2016-05-08,BY,1,0,1,7,28,0.0
2016-05-08,HU,8,0,7,7,28,0.0
2016-05-08,MD,40,0,1,7,28,0.0
2016-05-08,PL,2,0,7,5,27,0.0
2016-05-08,RO,94,0,42,6,29,0.0
2016-05-08,SK,1,1,58,7,29,0.0
2016-05-08,UA,8,0,1,6,28,0.0
2016-05-09,BY,1,1,1,8,28,0.0
2016-05-09,HU,8,0,6,8,28,0.0
2016-05-09,MD,40,1,1,8,28,0.0
2016-05-09,PL,4,0,6,6,27,0.0
2016-05-09,RO,93,0,41,7,29,0.0
2016-05-09,SK,1,0,57,1,29,0.0
2016-05-09,UA,8,1,42,7,28,0.0
2016-05-10,BY,1,1,54,1,28,0.0
2016-05-10,HU,8,0,5,9,28,0.0
2016-05-10,MD,40,1,54,1,28,0.0
2016-05-10,PL,1,0,5,7,27,0.0
2016-05-10,RO,93,0,40,8,29,0.0
2016-05-10,SK,1,0,56,2,29,0.0
2016-05-10,UA,8,0,41,1,28,0.0
2016-05-11,BY,1,0,53,1,28,0.0
2016-05-11,HU,7,0,4,10,28,0.0
2016-05-11,MD,40,0,53,1,28,0.0
2016-05-11,PL,6,0,4,8,27,0.0
2016-05-11,RO,93,0,39,9,29,0.0
2016-05-11,SK,1,0,55,3,29,0.0
2016-05-11,UA,8,0,40,2,28,0.0
2016-05-12,BY,1,0,52,2,28,0.0
2016-05-12,HU,7,0,3,11,28,0.0
2016-05-12,MD,40,0,52,2,28,0.0
2016-05-12,PL,5,0,3,9,27,0.0
2016-05-12,RO,92,0,38,10,29,0.0
2016-05-12,SK,1,0,54,4,29,0.0
2016-05-12,UA,8,0,39,3,28,0.0
2016-05-13,BY,1,0,51,3,28,0.0
2016-05-13,HU,7,0,2,12,28,0.0
2016-05-13,MD,40,0,51,3,28,0.0
2016-05-13,PL,4,0,2,10,27,0.0
2016-05-13,RO,92,0,37,11,29,0.0
2016-05-13,SK,1,0,53,5,29,0.0
2016-05-13,UA,8,0,38,4,28,0.0
2016-05-14,BY,1,0,50,4,28,0.0
2016-05-14,HU,7,0,1,13,28,0.0
2016-05-14,MD,40,0,50,4,28,0.0
2016-05-14,PL,2,0,1,11,27,0.0
2016-05-14,RO,91,0,36,12,29,0.0
2016-05-14,SK,1,0,52,6,29,0.0
2016-05-14,UA,8,0,37,5,28,0.0
2016-05-15,BY,1,0,49,5,28,0.0
2016-05-15,HU,7,1,1,14,28,0.0
2016-05-15,MD,40,0,49,5,28,0.0
2016-05-15,PL,1,1,11,12,27,0.0
2016-05-15,RO,91,0,35,13,29,0.0
2016-05-15,SK,1,0,51,7,29,0.0
2016-05-15,UA,8,0,36,6,28,0.0
2016-05-16,BY,1,0,48,6,28,0.0
2016-05-16,HU,7,1,96,1,28,0.0
2016-05-16,MD,40,0,48,6,28,0.0
2016-05-16,PL,2,0,10,1,27,0.0
2016-05-16,RO,90,0,34,14,29,0.0
2016-05-16,SK,1,0,50,8,29,0.0
2016-05-16,UA,8,0,35,7,28,0.0
2016-05-17,BY,1,0,47,7,28,0.0
2016-05-17,HU,7,0,95,1,28,0.0
2016-05-17,MD,39,0,47,7,28,0.0
2016-05-17,PL,3,0,9,2,27,0.0
2016-05-17,RO,90,0,33,15,29,0.0
2016-05-17,SK,1,0,49,9,29,0.0
2016-05-17,UA,8,0,34,8,28,0.0
2016-05-18,BY,1,0,46,8,28,0.0
2016-05-18,HU,7,0,94,2,28,0.0
2016-05-18,MD,39,0,46,8,28,0.0
2016-05-18,PL,5,0,8,3,27,0.0
2016-05-18,RO,89,0,32,16,29,0.0
2016-05-18,SK,1,0,48,10,29,0.0
2016-05-18,UA,8,0,33,9,28,0.0
2016-05-19,BY,1,0,45,9,28,0.0
2016-05-19,HU,7,0,93,3,28,0.0
2016-05-19,MD,39,0,45,9,28,0.0
2016-05-19,PL,1,0,7,4,27,0.0
2016-05-19,RO,89,0,31,17,29,0.0
2016-05-19,SK,1,0,47,11,29,0.0
2016-05-19,UA,8,0,32,10,28,0.0
2016-05-20,BY,1,0,44,10,28,0.0
2016-05-20,HU,6,0,92,4,28,0.0
2016-05-20,MD,39,0,44,10,28,0.0
2016-05-20,PL,3,0,6,5,27,0.0
2016-05-20,RO,88,0,30,18,29,0.0
2016-05-20,SK,1,0,46,12,29,0.0
2016-05-20,UA,8,0,31,11,28,0.0
2016-05-21,BY,1,0,43,11,28,0.0
2016-05-21,HU,6,0,91,5,28,0.0
2016-05-21,MD,39,0,43,11,28,0.0
2016-05-21,PL,2,0,5,6,27,0.0
2016-05-21,RO,88,0,29,19,29,0.0
2016-05-21,SK,1,0,45,13,29,0.0
2016-05-21,UA,8,0,30,12,28,0.0
2016-05-22,BY,1,0,42,12,28,0.0
2016-05-22,HU,6,0,90,6,28,0.0
2016-05-22,MD,39,0,42,12,28,0.0
2016-05-22,PL,2,0,4,7,27,0.0
2016-05-22,RO,88,0,28,20,29,0.0
2016-05-22,SK,1,0,44,14,29,0.0
2016-05-22,UA,8,0,29,13,28,0.0
2016-05-23,BY,1,0,41,13,28,0.0
2016-05-23,HU,6,0,89,7,28,0.0
2016-05-23,MD,39,0,41,13,28,0.0
2016-05-23,PL,2,0,3,8,27,0.0
2016-05-23,RO,87,0,27,21,29,0.0
2016-05-23,SK,1,0,43,15,29,0.0
2016-05-23,UA,8,0,28,14,28,0.0
2016-05-24,BY,1,0,40,14,28,0.0
2016-05-24,HU,6,0,88,8,28,0.0
2016-05-24,MD,39,0,40,14,28,0.0
2016-05-24,PL,2,0,2,9,27,0.0
2016-05-24,RO,87,0,26,22,29,0.0
2016-05-24,SK,1,0,42,16,29,0.0
2016-05-24,UA,8,0,27,15,28,0.0
2016-05-25,BY,1,0,39,15,28,0.0
2016-05-25,HU,6,0,87,9,28,0.0
2016-05-25,MD,39,0,39,15,28,0.0
2016-05-25,PL,2,0,1,10,27,0.0
2016-05-25,RO,86,0,25,23,29,0.0
2016-05-25,SK,1,0,41,17,29,0.0
2016-05-25,UA,8,0,26,16,28,0.0
2016-05-26,BY,1,0,38,16,28,0.0
2016-05-26,HU,6,0,86,10,28,0.0
2016-05-26,MD,39,0,38,16,28,0.0
2016-05-26,PL,3,1,81,11,27,0.0
2016-05-26,RO,86,0,24,24,29,0.0
2016-05-26,SK,1,0,40,18,29,0.0
2016-05-26,UA,7,0,25,17,28,0.0
2016-05-27,BY,1,0,37,17,28,0.0
2016-05-27,HU,6,0,85,11,28,0.0
2016-05-27,MD,39,0,37,17,28,0.0
2016-05-27,PL,3,0,80,1,27,0.0
2016-05-27,RO,85,0,23,25,29,0.0
2016-05-27,SK,1,0,39,19,29,0.0
2016-05-27,UA,7,0,24,18,28,0.0
2016-05-28,BY,1,0,36,18,28,0.0
2016-05-28,HU,6,0,84,12,28,0.0
2016-05-28,MD,39,0,36,18,28,0.0
2016-05-28,PL,4,0,79,2,27,0.0
2016-05-28,RO,85,0,22,26,29,0.0
2016-05-28,SK,1,0,38,20,29,0.0
2016-05-28,UA,7,0,23,19,28,0.0
2016-05-29,BY,1,0,35,19,28,0.0
2016-05-29,HU,5,0,83,13,28,0.0
2016-05-29,MD,39,0,35,19,28,0.0
2016-05-29,PL,4,0,78,3,27,0.0
2016-05-29,RO,84,0,21,27,29,0.0
2016-05-29,SK,1,0,37,21,29,0.0
2016-05-29,UA,7,0,22,20,28,0.0
2016-05-30,BY,1,0,34,20,28,0.0
2016-05-30,HU,5,0,82,14,28,0.0
2016-05-30,MD,39,0,34,20,28,0.0
2016-05-30,PL,5,0,77,4,27,0.0
2016-05-30,RO,84,0,20,28,29,0.0
2016-05-30,SK,1,0,36,22,29,0.0
2016-05-30,UA,7,0,21,21,28,0.0
2016-05-31,BY,1,0,33,21,28,0.0
2016-05-31,HU,5,0,81,15,28,0.0
2016-05-31,MD,39,0,33,21,28,0.0
2016-05-31,PL,2,0,76,5,27,0.0
2016-05-31,RO,84,0,19,29,29,0.0
2016-05-31,SK,1,0,35,23,29,0.0
